gene_id,R16b,T_M2,T_M4C,T_M5,T_M7,T_R11B,T_R15B,T_R9D
plut2.m8.15369,206,140,48,118,190,196,92,40
plut2.m8.15368,2330,2335,1471,1509,4003,1263,2824,1390
plut2.m8.15363,0,0,0,0,0,0,0,0
plut2.m8.15362,29,0,0,7,26,0,0,19
plut2.m8.15361,2926,8780,34006,2336,14653,2106,3326,2546
plut2.m8.15360,0,7,0,0,29,0,0,9
plut2.m8.15367,11544,27937,16504,9833,35170,14334,23445,9011
plut2.m8.15366,0,5,0,0,0,41,0,61
plut2.m8.15365,243,14,0,45,334,31,0,73
plut2.m8.15364,230,14,0,45,266,0,0,66
plut2.m8.17736,731,1949,1825,1037,1943,533,351,302
plut2.m8.17737,16,272,68,0,348,0,52,0
plut2.m8.17734,213,783,717,348,732,297,659,508
plut2.m8.18507,547,1096,1000,873,2138,273,778,270
plut2.m8.17732,1000,3401,3172,2168,4449,903,1831,708
plut2.m8.18501,0,0,0,0,18,0,0,0
plut2.m8.17730,1875,1433,1454,398,1160,617,1563,519
plut2.m8.18503,0,0,7,0,0,37,45,0
plut2.m8.18508,271,1332,61,295,2538,187,255,15
plut2.m8.18509,2214,6797,3040,2358,10182,2477,5014,3313
plut2.m8.17738,2043,6794,8582,3664,11013,1573,5085,3132
plut2.m8.17739,75,897,422,342,550,588,835,679
jamg1.TU.Sc0000133.27,485,2465,4646,1412,1477,0,9248,76
jamg1.TU.Sc0000133.28,5,25,107,20,0,0,0,0
jamg1.TU.Sc0000058.2,492,296,333,402,436,342,1122,452
plut2.m8.25120,0,0,0,0,0,0,0,0
plut2.m8.25121,0,65,0,0,8,0,0,0
plut2.m8.25126,60,36,22,43,66,35,160,89
plut2.m8.25127,0,326,147,178,480,0,0,0
plut2.m8.25125,0,0,0,0,0,0,0,0
plut2.m8.25128,159,1356,1401,428,2247,46,107,113
plut2.m8.25129,24,4,0,11,1,0,0,9
plut2.m8.17880,860,2293,1727,1012,2509,628,1151,644
plut2.m8.17881,62,20,97,18,70,110,84,7
plut2.m8.17882,258,440,1564,226,589,195,410,145
plut2.m8.17883,357,453,397,269,728,406,654,333
plut2.m8.17885,1538,1981,1519,859,3464,1144,1613,885
plut2.m8.17886,4188,4189,3369,2090,5501,2649,2712,2013
plut2.m8.17887,44,75,38,33,86,85,345,81
plut2.m8.24837,132,83,36,4,95,113,347,33
plut2.m8.17889,386,1083,679,441,943,334,484,155
plut2.m8.24835,43,25,0,56,55,16,46,16
plut2.m8.24833,2652,1748,1563,1781,1558,1081,1701,881
plut2.m8.24832,1895,68,0,9,76,114,548,0
plut2.m8.24831,0,34,711,0,8,0,27,0
plut2.m8.24830,667,1502,204,525,1823,572,751,525
jamg1.TU.Sc0000177.45,162,145,79,46,164,290,448,163
jamg1.TU.xfSc0006027.1,15,0,0,0,9,22,0,14
jamg1.TU.Sc0000072.129,0,0,0,0,0,0,0,0
jamg1.TU.Sc0000072.128,0,0,0,0,0,0,0,0
jamg1.TU.xpSc0007555.1,0,15,0,96,0,0,0,0
jamg1.TU.xpSc0007555.2,0,0,0,22,0,31,0,0
plut2.m8.19675,14,23,9,11,23,5,0,5
