yourlist:M20220121A084FC58F6BBA219896F365D15F2EB443D8165V	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs
XP_031551402.1	A0A6P8HFM6	A0A6P8HFM6_ACTTE	unreviewed	dynein intermediate chain 3, ciliary-like	LOC116288714	Actinia tenebrosa (Australian red waratah sea anemone)	582		
XP_029328904.1	A0A6P7QQL8	A0A6P7QQL8_MUSCR	unreviewed	titin isoform X15	Ttn	Mus caroli (Ryukyu mouse) (Ricefield mouse)	33206	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524
XP_013882748.1	A0A2I4CRY7	A0A2I4CRY7_9TELE	unreviewed	proteoglycan 4-like	LOC106531426	Austrofundulus limnaeus	269		
XP_006103955.1	G1NSL0	G1NSL0_MYOLU	unreviewed	Radial spoke head component 1	RSPH1	Myotis lucifugus (Little brown bat)	313	condensed nuclear chromosome [GO:0000794]; cytoplasm [GO:0005737]; meiotic spindle [GO:0072687]; outer dense fiber [GO:0001520]; axoneme assembly [GO:0035082]; spermatid development [GO:0007286]	GO:0000794; GO:0001520; GO:0005737; GO:0007286; GO:0035082; GO:0072687
XP_026281855.1	A0A6J1SR89	A0A6J1SR89_FRAOC	unreviewed	polyubiquitin-C	LOC113208853	Frankliniella occidentalis (Western flower thrips) (Euthrips occidentalis)	685		
XP_019626632.1	A0A6P4Z6F6	A0A6P4Z6F6_BRABE	unreviewed	Beta-1 metal-binding globulin (Serotransferrin) (Siderophilin)	LOC109471661	Branchiostoma belcheri (Amphioxus)	3335	extracellular space [GO:0005615]; ferric iron binding [GO:0008199]; cellular iron ion homeostasis [GO:0006879]; iron ion transport [GO:0006826]	GO:0005615; GO:0006826; GO:0006879; GO:0008199
XP_031550655.1	A0A6P8HDK5	A0A6P8HDK5_ACTTE	unreviewed	Non-specific serine/threonine protein kinase (EC 2.7.11.1)	LOC116288075	Actinia tenebrosa (Australian red waratah sea anemone)	15255	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; guanyl-nucleotide exchange factor activity [GO:0005085]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	GO:0005085; GO:0005524; GO:0005737; GO:0106310; GO:0106311
XP_001624220.1	A7SVZ2	A7SVZ2_NEMVE	unreviewed	Predicted protein	v1g218335	Nematostella vectensis (Starlet sea anemone)	203		
XP_031564986.1	A0A6P8IC28	A0A6P8IC28_ACTTE	unreviewed	uncharacterized protein LOC116300286	LOC116300286	Actinia tenebrosa (Australian red waratah sea anemone)	353	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; organic substance metabolic process [GO:0071704]	GO:0004553; GO:0071704
XP_001622771.1	A7T040	A7T040_NEMVE	unreviewed	Predicted protein	v1g220269	Nematostella vectensis (Starlet sea anemone)	293	cysteine-type peptidase activity [GO:0008234]	GO:0008234
XP_019646862.1	A0A6P5AUU7	A0A6P5AUU7_BRABE	unreviewed	LOW QUALITY PROTEIN: uncharacterized protein LOC109487324	LOC109487324	Branchiostoma belcheri (Amphioxus)	2770	zinc ion binding [GO:0008270]	GO:0008270
XP_001639674.1	A7RLI7	A7RLI7_NEMVE	unreviewed	Predicted protein	v1g179399	Nematostella vectensis (Starlet sea anemone)	380	nucleus [GO:0005634]; protein-arginine N-methyltransferase activity [GO:0016274]	GO:0005634; GO:0016274
XP_001632703.1	A7S6M0	A7S6M0_NEMVE	unreviewed	Predicted protein	v1g167102	Nematostella vectensis (Starlet sea anemone)	771	centrosome [GO:0005813]; cilium [GO:0005929]; intraciliary transport particle B [GO:0030992]; cilium assembly [GO:0060271]	GO:0005813; GO:0005929; GO:0030992; GO:0060271
XP_013298973.1	W2T6G9	W2T6G9_NECAM	unreviewed	Vesicle-fusing ATPase (EC 3.6.4.6)	NECAME_11491	Necator americanus (Human hookworm)	518	integral component of membrane [GO:0016021]; late endosome membrane [GO:0031902]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]	GO:0005524; GO:0016021; GO:0031902; GO:0140603
XP_019646247.1	A0A6P5AT35	A0A6P5AT35_BRABE	unreviewed	uncharacterized protein LOC109486796	LOC109486796	Branchiostoma belcheri (Amphioxus)	217	integral component of membrane [GO:0016021]	GO:0016021
XP_019614922.1	A0A6P4Y802	A0A6P4Y802_BRABE	unreviewed	uncharacterized protein LOC109462771	LOC109462771	Branchiostoma belcheri (Amphioxus)	1582	ADP binding [GO:0043531]	GO:0043531
XP_031550004.1	A0A6P8H0P3	A0A6P8H0P3_ACTTE	unreviewed	2'-5'-oligoadenylate synthase 3-like	LOC116287464	Actinia tenebrosa (Australian red waratah sea anemone)	1107	integral component of membrane [GO:0016021]; 2'-5'-oligoadenylate synthetase activity [GO:0001730]; double-stranded RNA binding [GO:0003725]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]	GO:0001730; GO:0003725; GO:0016021; GO:0045087; GO:0051607
XP_031559598.1	A0A6P8HW68	A0A6P8HW68_ACTTE	unreviewed	ras-related protein Rab-11A-like	LOC116295802	Actinia tenebrosa (Australian red waratah sea anemone)	220	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525
