yourlist:M20220122F248CABF64506F29A91F8037F07B67D13DFE271	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs
PFX29674.1	A0A2B4SG47	A0A2B4SG47_STYPI	unreviewed	Transcriptional adapter 2-alpha	Tada2a AWC38_SpisGene5558	Stylophora pistillata (Smooth cauliflower coral)	1072	calcium ion binding [GO:0005509]	GO:0005509
RMX59224.1	A0A3M6V0C7	A0A3M6V0C7_POCDA	unreviewed	C3H1-type domain-containing protein	pdam_00005680	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	494	metal ion binding [GO:0046872]	GO:0046872
RMX43953.1	A0A3M6TRB2	A0A3M6TRB2_POCDA	unreviewed	18S rRNA aminocarboxypropyltransferase (EC 2.5.1.-)	pdam_00019821	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	309	cytoplasm [GO:0005737]; S-adenosyl-L-methionine binding [GO:1904047]; transferase activity [GO:0016740]; enzyme-directed rRNA pseudouridine synthesis [GO:0000455]	GO:0000455; GO:0005737; GO:0016740; GO:1904047
PFX21389.1	A0A2B4RX56	A0A2B4RX56_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene14141	Stylophora pistillata (Smooth cauliflower coral)	340		
RMX54731.1	A0A3M6UM76	A0A3M6UM76_POCDA	unreviewed	Uncharacterized protein	pdam_00011525	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	4792	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021
PFX21297.1	A0A2B4RY92	A0A2B4RY92_STYPI	unreviewed	Transposon Tf2-6 polyprotein	Tf2-6 AWC38_SpisGene14236	Stylophora pistillata (Smooth cauliflower coral)	1240		
RMX48977.1	A0A3M6U5U2	A0A3M6U5U2_POCDA	unreviewed	Uncharacterized protein (Fragment)	pdam_00008278	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	819	integral component of membrane [GO:0016021]	GO:0016021
PFX24474.1	A0A2B4S1B3	A0A2B4S1B3_STYPI	unreviewed	DUF3504 domain-containing protein	AWC38_SpisGene10896	Stylophora pistillata (Smooth cauliflower coral)	403	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074
PWA22840.1	A0A315VHA5	A0A315VHA5_GAMAF	unreviewed	Uncharacterized protein	CCH79_00002226	Gambusia affinis (Western mosquitofish) (Heterandria affinis)	682	integral component of membrane [GO:0016021]; acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]	GO:0016021; GO:0016747
RMX51189.1	A0A3M6UCB5	A0A3M6UCB5_POCDA	unreviewed	Uncharacterized protein	pdam_00004086	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	517		
EDO47049.1	A7RNE9	A7RNE9_NEMVE	unreviewed	Predicted protein (Fragment)	v1g160913	Nematostella vectensis (Starlet sea anemone)	153		
CDI77221.1	U6GAC0	U6GAC0_9EIME	unreviewed	Uncharacterized protein	EPH_0007550	Eimeria praecox	574		
KYB28653.1	A0A139WL79	A0A139WL79_TRICA	unreviewed	Uncharacterized protein	TcasGA2_TC032392	Tribolium castaneum (Red flour beetle)	11532	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524
PFX24647.1	A0A2B4S7R2	A0A2B4S7R2_STYPI	unreviewed	DENN domain-containing protein 5A	DENND5A AWC38_SpisGene10769	Stylophora pistillata (Smooth cauliflower coral)	406	membrane [GO:0016020]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; signal transduction [GO:0007165]	GO:0003924; GO:0005525; GO:0007165; GO:0016020
PFX19060.1	A0A2B4RR78	A0A2B4RR78_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene16547	Stylophora pistillata (Smooth cauliflower coral)	334		
RMX56530.1	A0A3M6US88	A0A3M6US88_POCDA	unreviewed	Beta-galactosidase (EC 3.2.1.23)	pdam_00007232	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1286	beta-galactosidase activity [GO:0004565]; carbohydrate metabolic process [GO:0005975]	GO:0004565; GO:0005975
PFX18420.1	A0A2B4RPG3	A0A2B4RPG3_STYPI	unreviewed	Fatty acid synthase	FASN AWC38_SpisGene17209	Stylophora pistillata (Smooth cauliflower coral)	650	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid biosynthetic process [GO:0006633]	GO:0004315; GO:0006633
PRP80201.1	A0A2P6N8C2	A0A2P6N8C2_9EUKA	unreviewed	Proteophosphoglycan ppg4	PROFUN_12159	Planoprotostelium fungivorum	3181	integral component of membrane [GO:0016021]	GO:0016021
RMX44139.1	A0A3M6TS27	A0A3M6TS27_POCDA	unreviewed	Uncharacterized protein	pdam_00002485	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1305		
CAE1233375.1	A0A812BLJ3	A0A812BLJ3_SEPPH	unreviewed	Hypothetical protein	SPHA_18958	Sepia pharaonis (Pharaoh cuttlefish)	1173		
RMX48166.1	A0A3M6U3I7	A0A3M6U3I7_POCDA	unreviewed	Uncharacterized protein	pdam_00015381	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	730		
RMX40463.1	A0A3M6TGE6	A0A3M6TGE6_POCDA	unreviewed	Uncharacterized protein	pdam_00022453	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	242		
PFX29962.1	A0A2B4SN62	A0A2B4SN62_STYPI	unreviewed	Fibropellin-1	EGF1 AWC38_SpisGene5287	Stylophora pistillata (Smooth cauliflower coral)	6083	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021
PFX29093.1	A0A2B4SJ27	A0A2B4SJ27_STYPI	unreviewed	Mast/stem cell growth factor receptor kita	kita AWC38_SpisGene6161	Stylophora pistillata (Smooth cauliflower coral)	1025	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]	GO:0004713; GO:0005524; GO:0016021
RMX53222.1	A0A3M6UHT6	A0A3M6UHT6_POCDA	unreviewed	Uncharacterized protein	pdam_00016526	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	276		
PFX22114.1	A0A2B4RUI9	A0A2B4RUI9_STYPI	unreviewed	Myosin-VIIa	ck AWC38_SpisGene13362	Stylophora pistillata (Smooth cauliflower coral)	455	cytoskeleton [GO:0005856]	GO:0005856
RMX60268.1	A0A3M6V3W0	A0A3M6V3W0_POCDA	unreviewed	Copper homeostasis protein cutC homolog	pdam_00009094	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	239	copper ion binding [GO:0005507]; copper ion homeostasis [GO:0055070]	GO:0005507; GO:0055070
RMX40280.1	A0A3M6TFY5	A0A3M6TFY5_POCDA	unreviewed	EF-hand domain-containing protein	pdam_00008734	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	3159	extracellular region [GO:0005576]; calcium ion binding [GO:0005509]	GO:0005509; GO:0005576
KAF6263424.1	A0A7J7QH90	A0A7J7QH90_9CHLO	unreviewed	Peptidase_S8 domain-containing protein	COO60DRAFT_1624654	Scenedesmus sp. NREL 46B-D3	1471	serine-type endopeptidase activity [GO:0004252]	GO:0004252
PFX27210.1	A0A2B4SEG4	A0A2B4SEG4_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene8071	Stylophora pistillata (Smooth cauliflower coral)	429	integral component of membrane [GO:0016021]	GO:0016021
RMX41933.1	A0A3M6TKI0	A0A3M6TKI0_POCDA	unreviewed	Uncharacterized protein	pdam_00006666	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	85	integral component of membrane [GO:0016021]	GO:0016021
RMX40032.1	A0A3M6TF51	A0A3M6TF51_POCDA	unreviewed	Uncharacterized protein	pdam_00018008	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	336		
PFX28746.1	A0A2B4SH93	A0A2B4SH93_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene6494	Stylophora pistillata (Smooth cauliflower coral)	171		
PFX17817.1	A0A2B4RNA3	A0A2B4RNA3_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene17837	Stylophora pistillata (Smooth cauliflower coral)	427		
PFX16326.1	A0A2B4RGN3	A0A2B4RGN3_STYPI	unreviewed	D-inositol 3-phosphate glycosyltransferase	mshA AWC38_SpisGene19404	Stylophora pistillata (Smooth cauliflower coral)	1271	transferase activity [GO:0016740]	GO:0016740
PFX26143.1	A0A2B4SAT6	A0A2B4SAT6_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene9206	Stylophora pistillata (Smooth cauliflower coral)	1490		
PFX26984.1	A0A2B4S8I8	A0A2B4S8I8_STYPI	unreviewed	Nephrocystin-3	nphp3 AWC38_SpisGene8374	Stylophora pistillata (Smooth cauliflower coral)	3644	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524
PFX12977.1	A0A2B4R9D7	A0A2B4R9D7_STYPI	unreviewed	Uncharacterized protein KIAA1958-like	AWC38_SpisGene22984	Stylophora pistillata (Smooth cauliflower coral)	405	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074
RMX46026.1	A0A3M6TXD7	A0A3M6TXD7_POCDA	unreviewed	Uncharacterized protein	pdam_00002073	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	104		
RMZ94521.1	A0A3M7P5W9	A0A3M7P5W9_BRAPC	unreviewed	Histone H2B	BpHYR1_022593	Brachionus plicatilis (Marine rotifer) (Brachionus muelleri)	122	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]	GO:0000786; GO:0003677; GO:0005634; GO:0046982
RMX48488.1	A0A3M6U4T5	A0A3M6U4T5_POCDA	unreviewed	Uncharacterized protein	pdam_00008502	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	781	protein homooligomerization [GO:0051260]	GO:0051260
CAD7230635.1	A0A7R8WHM4	A0A7R8WHM4_9CRUS	unreviewed	Hypothetical protein	CTOB1V02_LOCUS8493	Cyprideis torosa	2518		
OCT60037.1	A0A1L8EL23	A0A1L8EL23_XENLA	unreviewed	Uncharacterized protein	XELAEV_18046056mg	Xenopus laevis (African clawed frog)	1449	extracellular region [GO:0005576]; extracellular matrix structural constituent [GO:0005201]; metal ion binding [GO:0046872]	GO:0005201; GO:0005576; GO:0046872
PFX15657.1	A0A2B4RH35	A0A2B4RH35_STYPI	unreviewed	Zinc finger MYM-type protein 1	ZMYM1 AWC38_SpisGene20110	Stylophora pistillata (Smooth cauliflower coral)	2056	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270
PFX20821.1	A0A2B4RT86	A0A2B4RT86_STYPI	unreviewed	Tetratricopeptide repeat protein 28	TTC28 AWC38_SpisGene14710	Stylophora pistillata (Smooth cauliflower coral)	1558	nucleotide binding [GO:0000166]; signal transduction [GO:0007165]	GO:0000166; GO:0007165
