yourlistU	UPA	Organisms	UniProtKB	First seen	Last seen	Length
XP_020613830.1	UPI0009E3EA37	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	391
XP_022787471.1	UPI000C03A476	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	7287
XP_020623925.1	UPI0009E6421B	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	410
XP_022803566.1	UPI000C038DC9	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	210
XP_020623084.1	UPI0009E1CAD3	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	961
XP_020631003.1	UPI0009E4FB4D	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	527
XP_020616665.1	UPI0009E2B207	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	113
XP_027050676.1	UPI000F550D2A	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	410
XP_020608422.1	UPI0009E5D8D5	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	312
XP_015767138.1	UPI00077A8B79	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	247
XP_022792714.1	UPI000C050E5E	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	289
XP_027048725.1	UPI000F54DC22	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	163
XP_020612661.1	UPI0009E29E89	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	532
XP_015749923.1	UPI00077A0A83	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	159
XP_020615517.1	UPI0009E43B6A	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1531
XP_022799980.1	UPI000C03A2BE	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	2407
XP_020619152.1	UPI0009E57FDE	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	2814
XP_020607293.1	UPI0009E44BE2	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	341
XP_028399717.1	UPI0010690812	Dendronephthya gigantea (Coral)		2019-03-30	2021-07-12	439
XP_020609380.1	UPI0009E48411	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	622
XP_032227489.1	UPI00138FA2DA	Nematostella vectensis (Starlet sea anemone)		2020-02-09	2021-07-12	1058
XP_020620491.1	UPI0009E4C702	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	201
XP_020619416.1	UPI0009E3470E	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1375
XP_020603326.1	UPI0009E497CA	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1970
XP_015779244.1	UPI00077AB4EE	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	442
XP_029189599.1	UPI0010FCCE32	Acropora millepora (Staghorn coral) (Heteropora millepora)		2019-05-26	2021-07-12	124
XP_020620451.1	UPI0009E3DC0E	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	623
XP_020617354.1	UPI0009E20A51	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	156
XP_020624832.1	UPI0009E61661	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1318
XP_020914355.1	UPI000A2A5B62	Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)		2017-05-13	2021-07-12	722
XP_020614892.1	UPI0009E5F560	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	567
XP_027048880.1	UPI000F54CDCD	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	715
XP_020631074.1	UPI0009E5F54E	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	235
XP_020600460.1	UPI0009E5B1A4	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1084
XP_020621851.1	UPI0009E3841A	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	669
XP_020610615.1	UPI0009E1AE98	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	486
XP_020620268.1	UPI0009E64F24	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	333
XP_027047886.1	UPI000F554FB8	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	563
XP_020625290.1	UPI0009E54B1F	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	715
XP_020616133.1	UPI0009E2ACDE	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	208
XP_028516404.1	UPI00109BE843	Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)		2019-04-18	2021-07-12	606
XP_020620934.1	UPI0009E54B76	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	3631
XP_020611391.1	UPI0009E52637	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	280
XP_020625754.1	UPI0009E2BE43	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	369
XP_020620007.1	UPI0009E4C6D8	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1465
XP_020609308.1	UPI0009E606F9	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	174
XP_032227117.1	UPI00138FE080	Nematostella vectensis (Starlet sea anemone)		2020-02-09	2021-07-12	2377
XP_027058376.1	UPI000F3D57E9	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6UT53; 	2018-11-13	2021-09-29	282
